Sl. No.,Category,Commodity,MSP - 2019,Wholesale Prices - Sep-19,Wholesale Prices - Oct-19
1,Kharif Crops,Paddy,1815,1831,1829
2,Kharif Crops,Jowar,2550,2780,2723
3,Kharif Crops,Bajra,2000,2139,2024
4,Kharif Crops,Maize,1760,2065,2003
5,Kharif Crops,Ragi,3150,2847,2810
6,Kharif Crops,Arhar,5800,5593,5570
7,Kharif Crops,Moong,7050,6253,6466
8,Kharif Crops,Urad,5700,5496,5624
9,Kharif Crops,Cotton,5255,5378,5066
10,Kharif Crops,Groundnut In Shell,5090,5586,5478
11,Kharif Crops,Sunflower Seed,5650,3525,3486
12,Kharif Crops,Soyabean,3710,3874,3594
13,Kharif Crops,Sesamum,6485,9858,10081
14,Kharif Crops,Nigerseed,5940,4626,4840
1,Rabi Crops#,Wheat,1925,2213,2246
2,Rabi Crops#,Barley,1525,1941,1925
3,Rabi Crops#,Gram,4875,4643,4721
4,Rabi Crops#,Masur,4800,4834,4890
5,Rabi Crops#,Rapeseed & Mustard,4425,4149,4174
6,Rabi Crops#,Safflower,5215,4282,4719
1,Other Crops,Copra),9521,11148,10906
2,Other Crops,Jute,3950,4291,4313
